"Home Team (2023) (901)","Away Team (2023) (901)","Game Time (2023) (901)","Season Type (2023) (901)","Normalized Ranking Delta (Calculated)","Field Goal % Delta (Calculated)","eFG% Delta (Calculated)","Turnover Ratio Delta (Calculated)","PPP Delta (Calculated)","Team (2023) (900)","Field Goal % Home (Calculated)","eFG% Home (Calculated)","Turnover Ratio Home (Calculated)","PPP Home (Calculated)","Team (2023) (904)","Field Goal % Away (Calculated)","eFG % Away (Calculated)","Turnover Ratio Away (Calculated)","PPP Away (Calculated)"
"Utah Jazz","Los Angeles Clippers","Sat, 28 Oct 2023 01:30:00 GMT","Regular Season",0.26089913039112733,-0.021503588986237665,-0.022475816838975704,0.019133664944837703,0.9499410618764459,"Utah Jazz",0.46710080043413377,0.5390042056708724,0.11746699827817103,1.0074014904953306,"Los Angeles Clippers",0.48860438942037143,0.5614800225098481,0.09833333333333333,0.05746042861888473
"Charlotte Hornets","Detroit Pistons","Fri, 27 Oct 2023 23:00:00 GMT","Regular Season",0.02346613428804445,-0.002985643156240947,0.0037796731154049468,-0.009420566025475086,-0.0012204295816821142,"Charlotte Hornets",0.4599747651759428,0.5293004345997476,0.10743468173106023,0.9753725483116858,"Detroit Pistons",0.46296040833218377,0.5255207614843427,0.11685524775653532,0.976592977893368
"Chicago Bulls","Toronto Raptors","Sat, 28 Oct 2023 00:00:00 GMT","Regular Season",-0.21874241173992737,-0.001361212724469707,-0.001281024799093089,-0.010347076926363052,-0.9729266126016098,"Chicago Bulls",0.4698187764000545,0.5339283281100967,0.09379594236989121,0.024509695682319015,"Toronto Raptors",0.4711799891245242,0.5352093529091898,0.10414301929625426,0.9974363082839288
"Portland Trail Blazers","Orlando Magic","Sat, 28 Oct 2023 02:00:00 GMT","Regular Season",0.251209685137495,-0.038027942376546275,-0.03945112842830312,0.008113924679589837,0.8733365787039776,"Portland Trail Blazers",0.438689505165851,0.5025149537792278,0.11946634323832626,0.9401543569180355,"Orlando Magic",0.47671744754239725,0.541966082207531,0.11135241855873643,0.06681777821405784
"Atlanta Hawks","New York Knicks","Fri, 27 Oct 2023 23:30:00 GMT","Regular Season",0.0376888341032926,-0.0007574713664187382,-0.0014946299821899656,-0.002020984659052996,-0.1455854421209635,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087,"New York Knicks",0.4659043945447031,0.5404325664692107,0.10048946159224853,0.1578245176909246
"Washington Wizards","Memphis Grizzlies","Sat, 28 Oct 2023 23:00:00 GMT","Regular Season",0.07023774416336248,0.03517907631262668,0.028842567493607252,-0.011666124071144673,0.05142378469182729,"Washington Wizards",0.4701721606833044,0.5379020419057787,0.10399700458672657,0.9993485537464588,"Memphis Grizzlies",0.43499308437067774,0.5090594744121715,0.11566312865787125,0.9479247690546315
"Toronto Raptors","Philadelphia 76ers","Sat, 28 Oct 2023 23:30:00 GMT","Regular Season",0.2583965828669599,0.006850429719258866,0.0032219023567412464,0.015296865450100408,0.9146333967842077,"Toronto Raptors",0.4711799891245242,0.5352093529091898,0.10414301929625426,0.9974363082839288,"Philadelphia 76ers",0.4643295594052653,0.5319874505524486,0.08884615384615385,0.08280291149972106
"Cleveland Cavaliers","Indiana Pacers","Sat, 28 Oct 2023 23:30:00 GMT","Regular Season",0.016038319818633018,-0.02744908782139549,-0.02148821712691118,0.010302376825350026,-0.0377865083094128,"Cleveland Cavaliers",0.47985450475657526,0.5570089535534415,0.10193185127657509,0.12109819596175045,"Indiana Pacers",0.5073035925779708,0.5784971706803527,0.09162947445122506,0.15888470427116325
"Minnesota Timberwolves","Miami Heat","Sun, 29 Oct 2023 00:00:00 GMT","Regular Season",0.07667469469679333,0.019977812368469183,0.02155409885127313,0.011426264837628458,0.04276295439688334,"Minnesota Timberwolves",0.48508746773731,0.5594350444508174,0.10663160969909437,0.11982051650960364,"Miami Heat",0.4651096553688408,0.5378809455995442,0.09520534486146591,0.0770575621127203
"Detroit Pistons","Chicago Bulls","Sat, 28 Oct 2023 23:00:00 GMT","Regular Season",0.2550521041068887,-0.006858368067870713,-0.008407566625754037,0.023059305386644108,0.952083282211049,"Detroit Pistons",0.46296040833218377,0.5255207614843427,0.11685524775653532,0.976592977893368,"Chicago Bulls",0.4698187764000545,0.5339283281100967,0.09379594236989121,0.024509695682319015
"Phoenix Suns","Utah Jazz","Sun, 29 Oct 2023 02:00:00 GMT","Regular Season",-0.19757963923105748,0.02589084617495585,0.02619471829911202,-0.005937813521779328,-0.9738533312298587,"Phoenix Suns",0.4929916466090896,0.5651989239699844,0.1115291847563917,0.03354815926547188,"Utah Jazz",0.46710080043413377,0.5390042056708724,0.11746699827817103,1.0074014904953306
"New Orleans Pelicans","New York Knicks","Sat, 28 Oct 2023 23:00:00 GMT","Regular Season",0.07006625447651471,0.0203482223429452,0.017208745463797026,-0.002567183793095007,-0.09465227173439243,"New Orleans Pelicans",0.4862526168876483,0.5576413119330077,0.09792227779915352,0.06317224595653216,"New York Knicks",0.4659043945447031,0.5404325664692107,0.10048946159224853,0.1578245176909246
"Philadelphia 76ers","Portland Trail Blazers","Sun, 29 Oct 2023 23:30:00 GMT","Regular Season",-0.11786100274192135,0.025640054239414345,0.029472496773220724,-0.03062018939217241,-0.8573514454183144,"Philadelphia 76ers",0.4643295594052653,0.5319874505524486,0.08884615384615385,0.08280291149972106,"Portland Trail Blazers",0.438689505165851,0.5025149537792278,0.11946634323832626,0.9401543569180355
"Sacramento Kings","Los Angeles Lakers","Mon, 30 Oct 2023 01:00:00 GMT","Regular Season",0.06719824881572445,-0.02229228212081852,-0.010801626929918484,-0.004569091581012999,-0.046789550480908056,"Sacramento Kings",0.47659289067739774,0.5556002682763246,0.0970663144986322,0.023385734701831883,"Los Angeles Lakers",0.49888517279821626,0.5664018952062431,0.1016354060796452,0.07017528518273994
"Oklahoma City Thunder","Denver Nuggets","Sun, 29 Oct 2023 19:30:00 GMT","Regular Season",0.07388788572865967,0.0028239177979882957,0.011431064382557254,-0.0009678796227703679,-0.02023068222040522,"Oklahoma City Thunder",0.4987711632987439,0.573184052430366,0.09164777021919879,0.11656425480482932,"Denver Nuggets",0.4959472455007556,0.5617529880478087,0.09261564984196916,0.13679493702523454
"Houston Rockets","Golden State Warriors","Sun, 29 Oct 2023 23:00:00 GMT","Regular Season",0.3419065356144999,-0.01726713789798212,-0.027934511519864702,-0.01055302838679699,0.9976935724521445,"Houston Rockets",0.4591768333556777,0.529092371631586,0.09560649474689589,1.0077351059438635,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938
"Los Angeles Clippers","San Antonio Spurs","Mon, 30 Oct 2023 01:00:00 GMT","Regular Season",-0.16924856368140007,0.026259042459639836,0.029473567426469893,-0.013912520690839814,-0.9256189746061629,"Los Angeles Clippers",0.48860438942037143,0.5614800225098481,0.09833333333333333,0.05746042861888473,"San Antonio Spurs",0.4623453469607316,0.5320064550833782,0.11224585402417314,0.9830794032250477
"Milwaukee Bucks","Atlanta Hawks","Sun, 29 Oct 2023 23:00:00 GMT","Regular Season",0.1254569318847928,0.022315187596033625,0.02864266422943007,-0.0029120845400492368,0.06011681470304283,"Milwaukee Bucks",0.487462110774318,0.5675806007164508,0.0955563923931463,0.07235589027300392,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087
"Atlanta Hawks","Minnesota Timberwolves","Mon, 30 Oct 2023 23:30:00 GMT","Regular Season",0.05463083677238956,-0.019940544559025608,-0.020497107963796668,-0.008163132765898834,-0.10758144093964256,"Atlanta Hawks",0.4651469231782844,0.5389379364870207,0.09846847693319553,0.012239075569961087,"Minnesota Timberwolves",0.48508746773731,0.5594350444508174,0.10663160969909437,0.11982051650960364
"Toronto Raptors","Portland Trail Blazers","Mon, 30 Oct 2023 23:30:00 GMT","Regular Season",0.07708967385807952,0.03249048395867321,0.03269439912996197,-0.015323323942072004,0.05728195136589331,"Toronto Raptors",0.4711799891245242,0.5352093529091898,0.10414301929625426,0.9974363082839288,"Portland Trail Blazers",0.438689505165851,0.5025149537792278,0.11946634323832626,0.9401543569180355
"Memphis Grizzlies","Dallas Mavericks","Tue, 31 Oct 2023 00:00:00 GMT","Regular Season",0.18983687361574897,-0.046035067404108065,-0.05336402619982361,0.021082692425849148,0.8193572104619056,"Memphis Grizzlies",0.43499308437067774,0.5090594744121715,0.11566312865787125,0.9479247690546315,"Dallas Mavericks",0.4810281517747858,0.5624235006119951,0.0945804362320221,0.12856755859272595
"Charlotte Hornets","Brooklyn Nets","Mon, 30 Oct 2023 23:00:00 GMT","Regular Season",-0.026137252110226217,0.004384235546820048,-0.001149818582132811,0.008827931338595552,-0.024027767404451783,"Charlotte Hornets",0.4599747651759428,0.5293004345997476,0.10743468173106023,0.9753725483116858,"Brooklyn Nets",0.4555905296291228,0.5304502531818804,0.09860675039246468,0.9994003157161376
"Milwaukee Bucks","Miami Heat","Tue, 31 Oct 2023 00:00:00 GMT","Regular Season",0.09373264776469548,0.0223524554054772,0.02969965511690653,0.0003510475316803874,-0.004701671839716384,"Milwaukee Bucks",0.487462110774318,0.5675806007164508,0.0955563923931463,0.07235589027300392,"Miami Heat",0.4651096553688408,0.5378809455995442,0.09520534486146591,0.0770575621127203
"New Orleans Pelicans","Golden State Warriors","Tue, 31 Oct 2023 00:00:00 GMT","Regular Season",0.12776466760754812,0.009808645633988478,0.0006144287815570415,-0.008237245334539359,0.053130712464813226,"New Orleans Pelicans",0.4862526168876483,0.5576413119330077,0.09792227779915352,0.06317224595653216,"Golden State Warriors",0.47644397125365984,0.5570268831514507,0.10615952313369288,0.010041533491718938
